127.0.0.1, 2019-07-06 17:18:08, GET, /admin/default/edit/coletaContador/controllers/default.py, HTTP/1.1, 200, 0.145000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.005000
0
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/js/ajax_editor.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.029000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/js/typeahead.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-07-06 17:18:08, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:18:09, GET, /admin/default/edit/coletaContador/controllers/default.py, HTTP/1.1, 200, 0.190000
127.0.0.1, 2019-07-06 17:18:09, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.278000
127.0.0.1, 2019-07-06 17:18:09, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-06 17:18:09, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.526000
127.0.0.1, 2019-07-06 17:18:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.684000
127.0.0.1, 2019-07-06 17:18:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.559000
127.0.0.1, 2019-07-06 17:18:10, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 1.084000
127.0.0.1, 2019-07-06 17:19:53, GET, /admin/default/site, HTTP/1.1, 200, 0.117000
127.0.0.1, 2019-07-06 17:19:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-07-06 17:19:57, GET, /admin/default/design/coletaContador, HTTP/1.1, 200, 0.288000
